   110   42
    0.107701E+01   0.000000E+00    0.49043E-02    0.00000E+00
    0.107701E+01   0.100000E-02    0.48679E-02    0.21262E-03
    0.107701E+01   0.200000E-02    0.48315E-02    0.40823E-03
    0.107701E+01   0.400000E-02    0.47599E-02    0.75530E-03
    0.107701E+01   0.600000E-02    0.46920E-02    0.10525E-02
    0.107701E+01   0.800000E-02    0.46244E-02    0.13076E-02
    0.107701E+01   0.100000E-01    0.45570E-02    0.15269E-02
    0.107701E+01   0.125000E-01    0.44730E-02    0.17588E-02
    0.107701E+01   0.150000E-01    0.43896E-02    0.19518E-02
    0.107701E+01   0.175000E-01    0.43113E-02    0.21188E-02
    0.107701E+01   0.200000E-01    0.42236E-02    0.22477E-02
    0.107701E+01   0.225000E-01    0.41473E-02    0.23623E-02
    0.107701E+01   0.250000E-01    0.40722E-02    0.24575E-02
    0.107701E+01   0.275000E-01    0.39983E-02    0.25365E-02
    0.107701E+01   0.300000E-01    0.39257E-02    0.26016E-02
    0.107701E+01   0.350000E-01    0.37841E-02    0.26978E-02
    0.107701E+01   0.400000E-01    0.36477E-02    0.27583E-02
    0.107701E+01   0.600000E-01    0.31492E-02    0.27862E-02
    0.107701E+01   0.800000E-01    0.27312E-02    0.26678E-02
    0.107701E+01   0.100000E+00    0.23755E-02    0.24920E-02
    0.107701E+01   0.120000E+00    0.20725E-02    0.23015E-02
    0.107701E+01   0.140000E+00    0.18137E-02    0.21141E-02
    0.107701E+01   0.160000E+00    0.15925E-02    0.19389E-02
    0.107701E+01   0.180000E+00    0.14026E-02    0.17767E-02
    0.107701E+01   0.200000E+00    0.12392E-02    0.16285E-02
    0.107701E+01   0.300000E+00    0.69791E-03    0.10676E-02
    0.107701E+01   0.400000E+00    0.42073E-03    0.72167E-03
    0.107701E+01   0.500000E+00    0.26770E-03    0.50220E-03
    0.107701E+01   0.600000E+00    0.17740E-03    0.35850E-03
    0.107701E+01   0.700000E+00    0.12123E-03    0.26212E-03
    0.107701E+01   0.800000E+00    0.85102E-04    0.19614E-03
    0.107701E+01   0.900000E+00    0.61396E-04    0.15013E-03
    0.107701E+01   0.100000E+01    0.45673E-04    0.11745E-03
