     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
   100.000     0.010    0.578E+00    0.533E+00    0.680E+01    0.386E+00    0.406E+00    0.271E+00    0.271E+00    0.188E+00    0.188E+00    0.743E-01    0.743E-01
   100.000     0.020    0.547E+00    0.485E+00    0.442E+01    0.290E+00    0.307E+00    0.196E+00    0.196E+00    0.128E+00    0.128E+00    0.463E-01    0.463E-01
   100.000     0.030    0.543E+00    0.462E+00    0.328E+01    0.237E+00    0.252E+00    0.156E+00    0.156E+00    0.972E-01    0.972E-01    0.331E-01    0.331E-01
   100.000     0.040    0.549E+00    0.448E+00    0.270E+01    0.205E+00    0.218E+00    0.133E+00    0.133E+00    0.803E-01    0.803E-01    0.265E-01    0.265E-01
   100.000     0.050    0.556E+00    0.435E+00    0.226E+01    0.178E+00    0.192E+00    0.114E+00    0.114E+00    0.670E-01    0.670E-01    0.214E-01    0.214E-01
   100.000     0.060    0.562E+00    0.424E+00    0.193E+01    0.156E+00    0.172E+00    0.100E+00    0.100E+00    0.571E-01    0.571E-01    0.178E-01    0.178E-01
   100.000     0.070    0.567E+00    0.414E+00    0.168E+01    0.138E+00    0.156E+00    0.882E-01    0.882E-01    0.491E-01    0.491E-01    0.149E-01    0.149E-01
   100.000     0.080    0.572E+00    0.404E+00    0.147E+01    0.122E+00    0.142E+00    0.783E-01    0.783E-01    0.425E-01    0.425E-01    0.127E-01    0.127E-01
   100.000     0.090    0.576E+00    0.394E+00    0.129E+01    0.108E+00    0.130E+00    0.699E-01    0.699E-01    0.371E-01    0.371E-01    0.108E-01    0.108E-01
   100.000     0.100    0.578E+00    0.384E+00    0.114E+01    0.968E-01    0.119E+00    0.626E-01    0.626E-01    0.325E-01    0.325E-01    0.932E-02    0.932E-02
   100.000     0.110    0.580E+00    0.374E+00    0.102E+01    0.868E-01    0.109E+00    0.563E-01    0.563E-01    0.285E-01    0.285E-01    0.806E-02    0.806E-02
   100.000     0.120    0.581E+00    0.364E+00    0.908E+00    0.781E-01    0.100E+00    0.508E-01    0.508E-01    0.251E-01    0.251E-01    0.699E-02    0.699E-02
   100.000     0.130    0.581E+00    0.354E+00    0.812E+00    0.706E-01    0.921E-01    0.458E-01    0.458E-01    0.222E-01    0.222E-01    0.609E-02    0.609E-02
   100.000     0.140    0.580E+00    0.344E+00    0.728E+00    0.640E-01    0.846E-01    0.415E-01    0.415E-01    0.196E-01    0.196E-01    0.531E-02    0.531E-02
   100.000     0.150    0.578E+00    0.334E+00    0.654E+00    0.583E-01    0.776E-01    0.376E-01    0.376E-01    0.173E-01    0.173E-01    0.465E-02    0.465E-02
   100.000     0.160    0.575E+00    0.323E+00    0.588E+00    0.532E-01    0.711E-01    0.341E-01    0.341E-01    0.154E-01    0.154E-01    0.407E-02    0.407E-02
   100.000     0.170    0.570E+00    0.313E+00    0.530E+00    0.487E-01    0.651E-01    0.309E-01    0.309E-01    0.136E-01    0.136E-01    0.357E-02    0.357E-02
   100.000     0.180    0.565E+00    0.303E+00    0.477E+00    0.447E-01    0.596E-01    0.281E-01    0.281E-01    0.121E-01    0.121E-01    0.314E-02    0.314E-02
   100.000     0.190    0.559E+00    0.293E+00    0.430E+00    0.411E-01    0.545E-01    0.255E-01    0.255E-01    0.107E-01    0.107E-01    0.276E-02    0.276E-02
   100.000     0.200    0.553E+00    0.283E+00    0.388E+00    0.379E-01    0.497E-01    0.232E-01    0.232E-01    0.949E-02    0.949E-02    0.242E-02    0.242E-02
   100.000     0.210    0.545E+00    0.273E+00    0.349E+00    0.349E-01    0.454E-01    0.211E-01    0.211E-01    0.841E-02    0.841E-02    0.213E-02    0.213E-02
   100.000     0.220    0.537E+00    0.263E+00    0.315E+00    0.323E-01    0.413E-01    0.192E-01    0.192E-01    0.746E-02    0.746E-02    0.188E-02    0.188E-02
   100.000     0.230    0.528E+00    0.253E+00    0.284E+00    0.298E-01    0.377E-01    0.175E-01    0.175E-01    0.661E-02    0.661E-02    0.165E-02    0.165E-02
   100.000     0.240    0.518E+00    0.243E+00    0.256E+00    0.276E-01    0.343E-01    0.159E-01    0.159E-01    0.585E-02    0.585E-02    0.145E-02    0.145E-02
   100.000     0.250    0.508E+00    0.234E+00    0.231E+00    0.255E-01    0.312E-01    0.144E-01    0.144E-01    0.518E-02    0.518E-02    0.128E-02    0.128E-02
